Manufacturer;Model Number;Max strings input;Maximum Short Circuit Current / String;Description;Maximum Continuous Output Power (kW);Nominal Voltage (Vac);Weighted Efficiency (%);Night Tare Loss (W);Voltage Minimum (Vdc);Voltage Nominal (Vdc);Voltage Maximum (Vdc);Power Level 10% (kW);Power Level 20% (kW);Power Level 30% (kW);Power Level 50% (kW);Power Level 75% (kW);Power Level 100% (kW);Efficiency @Vmin 10% Pwr Lvl (%);Efficiency @Vmin 20% Pwr Lvl (%);Efficiency @Vmin 30% Pwr Lvl (%);Efficiency @Vmin 50% Pwr Lvl (%);Efficiency @Vmin 75% Pwr Lvl (%);Efficiency @Vmin 100% Pwr Lvl (%);"Efficiency @Vmin; Wtd (%)";Efficiency @Vnom 10% Pwr Lvl (%);Efficiency @Vnom 20% Pwr Lvl (%);Efficiency @Vnom 30% Pwr Lvl (%);Efficiency @Vnom 50% Pwr Lvl (%);Efficiency @Vnom 75% Pwr Lvl (%);Efficiency @Vnom 100% Pwr Lvl (%);Efficiency @Vnom Wtd (%);Efficiency @Vmax 10% Pwr Lvl (%);Efficiency @Vmax 20% Pwr Lvl (%);Efficiency @Vmax 30% Pwr Lvl (%);Efficiency @Vmax 50% Pwr Lvl (%);Efficiency @Vmax 75% Pwr Lvl (%);Efficiency @Vmax 100% Pwr Lvl (%);Efficiency @Vmax Wtd (%)
ABB;PVI-3,0-OUTD-S-US-A [240V];2;12,5;"3 kW; 240 Vac Grid Support Utility Interactive Inverter with arc detector";3;240;96;0,1;100;340;480;0,25;0,6;0,9;1,5;2,25;3;92,5;95,2;95,9;96,1;95,9;95,5;95,7;93,1;95,9;96,5;96,7;96,7;96,4;96,5;91,1;95,1;96;96,4;96,4;96,2;96,1
ABB;PVI-3,0-OUTD-S-US-Z-A [240V];2;12,5;"3 kW; 240 Vac Grid Support Utility Interactive Inverter with arc detector";3;240;96;0,1;100;340;480;0,25;0,6;0,9;1,5;2,25;3;92,5;95,2;95,9;96,1;95,9;95,5;95,7;93,1;95,9;96,5;96,7;96,7;96,4;96,5;91,1;95,1;96;96,4;96,4;96,2;96,1
ABB;PVI-3,0-OUTD-S-US-Z-M-A [240V];2;12,5;"3 kW; 240 Vac Grid Support Utility Interactive Inverter with arc-fault detection and meter";3;240;96;0,1;100;340;480;0,25;0,6;0,9;1,5;2,25;3;92,5;95,2;95,9;96,1;95,9;95,5;95,7;93,1;95,9;96,5;96,7;96,7;96,4;96,5;91,1;95,1;96;96,4;96,4;96,2;96,1
ABB;UNO-DM-3,3-TL-PLUS-US-SB-RA [240V];2;12,5;"3,3 kW; 240 Vac Grid Support Interactive Inverter with arc detector; WLAN; and Rapid Shutdown power supply";3,3;240;96,5;0,9;200;355;480;0,33;0,66;0,99;1,65;2,48;3,3;92,8;95,3;95,8;96,1;96,1;95,7;95,9;93,6;96;96,6;96,9;96,8;96,7;96,6;92,2;95,3;96;96,6;96,6;96,5;96,3
ABB;UNO-DM-3,3-TL-PLUS-US-SB-RA-Q [240V];2;12,5;"3,3 kW; 240 Vac Grid Support Utility Interactive Inverter with arc detector; WLAN; and Rapid Shutdown power supply";3,3;240;96,5;0,9;200;355;480;0,33;0,66;0,99;1,65;2,48;3,3;92,8;95,3;95,8;96,1;96,1;95,7;95,9;93,6;96;96,6;96,9;96,8;96,7;96,6;92,2;95,3;96;96,6;96,6;96,5;96,3
ABB;UNO-DM-3,3-TL-PLUS-US-SE-RA [240V];2;12,5;"3,3 kW; 240 Vac Grid Support Interactive Inverter with arc detector; Ethernet LAN; and Rapid Shutdown power supply";3,3;240;96,5;0,9;200;355;480;0,33;0,66;0,99;1,65;2,48;3,3;92,8;95,3;95,8;96,1;96,1;95,7;95,9;93,6;96;96,6;96,9;96,8;96,7;96,6;92,2;95,3;96;96,6;96,6;96,5;96,3
ABB;UNO-DM-3,3-TL-PLUS-US-SZM-RA [240V];2;12,5;"3,3 kW; 240 Vac Grid Support Interactive Inverter with arc detector; revenue grade meter; Zigbee radio; and Rapid Shutdown power supply";3,3;240;96,5;0,9;200;355;480;0,33;0,66;0,99;1,65;2,48;3,3;92,8;95,3;95,8;96,1;96,1;95,7;95,9;93,6;96;96,6;96,9;96,8;96,7;96,6;92,2;95,3;96;96,6;96,6;96,5;96,3
ABB;UNO-DM-3,3-TL-PLUS-US-SZ-RA [240V];2;12,5;"3,3 kW; 240 Vac Grid Support Interactive Inverter with arc detector and Rapid Shutdown power supply";3,3;240;96,5;0,9;200;355;480;0,33;0,66;0,99;1,65;2,48;3,3;92,8;95,3;95,8;96,1;96,1;95,7;95,9;93,6;96;96,6;96,9;96,8;96,7;96,6;92,2;95,3;96;96,6;96,6;96,5;96,3
ABB;PVI-3,6-OUTD-S-US-A [240V];2;20;"3,6 kW; 240 Vac Grid Support Utility Interactive Inverter with arc detector";3,6;240;96;0,2;100;340;480;0,3;0,72;1,08;1,8;2,7;3,6;91,1;94,1;94,9;95,6;95,8;95,7;95,4;92,4;95,5;96,3;96,7;96,7;96,6;96,5;90,2;94,6;95,6;96,2;96,4;96,3;95,9
ABB;PVI-3,6-OUTD-S-US-Z-A [240V];2;20;"3,6 kW; 240 Vac Grid Support Utility Interactive Inverter with arc detector";3,6;240;96;0,2;100;340;480;0,3;0,72;1,08;1,8;2,7;3,6;91,1;94,1;94,9;95,6;95,8;95,7;95,4;92,4;95,5;96,3;96,7;96,7;96,6;96,5;90,2;94,6;95,6;96,2;96,4;96,3;95,9
