Manufacturer,Model Number,Max strings input,Maximum Short Circuit Current / String,Description,Maximum Continuous Output Power (kW),Nominal Voltage (Vac),Weighted Efficiency (%),Night Tare Loss (W),Voltage Minimum (Vdc),Voltage Nominal (Vdc),Voltage Maximum (Vdc),Power Level 10% (kW),Power Level 20% (kW),Power Level 30% (kW),Power Level 50% (kW),Power Level 75% (kW),Power Level 100% (kW),Efficiency @Vmin 10% Pwr Lvl (%),Efficiency @Vmin 20% Pwr Lvl (%),Efficiency @Vmin 30% Pwr Lvl (%),Efficiency @Vmin 50% Pwr Lvl (%),Efficiency @Vmin 75% Pwr Lvl (%),Efficiency @Vmin 100% Pwr Lvl (%),"Efficiency @Vmin, Wtd (%)",Efficiency @Vnom 10% Pwr Lvl (%),Efficiency @Vnom 20% Pwr Lvl (%),Efficiency @Vnom 30% Pwr Lvl (%),Efficiency @Vnom 50% Pwr Lvl (%),Efficiency @Vnom 75% Pwr Lvl (%),Efficiency @Vnom 100% Pwr Lvl (%),Efficiency @Vnom Wtd (%),Efficiency @Vmax 10% Pwr Lvl (%),Efficiency @Vmax 20% Pwr Lvl (%),Efficiency @Vmax 30% Pwr Lvl (%),Efficiency @Vmax 50% Pwr Lvl (%),Efficiency @Vmax 75% Pwr Lvl (%),Efficiency @Vmax 100% Pwr Lvl (%),Efficiency @Vmax Wtd (%)
SMA America,SC 2750-EV-US [600V],2,3200,"Sunny Central 2750 kW, 600Vac, multi-mode, 3-phase Grid Support Utility Interactive Inverter",2600,600,97.5,379.32,875,957,1200,260,520,780,1300,1950,2600,95.654268,97.278513,97.6760364,97.8337692,97.642402,97.2187736,97.56772401,95.393142,97.1421828,97.5611036,97.7454456,97.548143,97.0710699,97.46078011,94.470888,96.735168,97.058768,97.4894064,97.359625,96.8886707,97.18045621
SMA America,SC 2500-EV-US [550V],2,3200,"Sunny Central 2500 kW, 550 Vac Grid Support Utility Interactive Inverter",2353.87,550,97,370,850,994,1425,235.39,470.77,706.16,1176.94,1765.4,2353.87,96.42,97.63,97.83,97.79,97.42,96.82,97.49,95.86,97.35,97.63,97.65,97.28,96.74,97.32,94.25,96.58,97.07,97.2,96.81,96.42,96.79
SMA America,SC-2200-US [385V],2,3200,"Sunny Central 2200 kW, 385 Vac Grid Support Utility Interactive Inverter",2079,385,97,297,570,665,950,207.9,415.8,623.7,1039.5,1559.25,2079,96.63,97.68,97.8,97.69,97.33,96.68,97.42,96.07,97.38,97.58,97.53,97.21,96.57,97.25,94.45,96.53,96.96,97.05,96.73,96.18,96.69
SMA America,SC-1850-US [385V],2,3200,"Sunny Central 1850 kW, 385 Vac Grid Support Utility Interactive Inverter",1661,385,97,294,570,665,950,166.1,332.2,498.3,830.5,1245.75,1661,96.09,97.54,97.81,97.79,97.59,97.25,97.58,95.5,97.22,97.55,97.62,97.45,97.13,97.39,93.24,96.22,96.74,97.07,96.98,96.67,96.77
INGETEAM POWER TECHNOLOGY S.A.,INGECON SUN 1110TL U B400 [400V],1,2000,"1110 kW, 400 Vac Grid Support Utility Interactive Inverter for PV and Battery Applications.",1110,400,98,80,580,660,740,111,222,333,555,832.5,1110,97.16,98.08,98.29,98.27,97.94,97.39,98,96.8,97.93,98.19,98.25,97.8,97.32,97.89,96.54,97.71,98.06,98.12,97.67,97.35,97.75
Destin Power Inc.,SAVEEN1000-ES02H.US [440V],1,965,"1000 kW, 440 Vac, Grid Support Utility Interactive Inverter ESS for Indoor ESS PCS",1000,440,98,149.25,740,830,900,100,200,300,500,750,1000,94.9762,97.2102,97.9516,98.4084,98.507,98.421,98.209274,94.252,96.7644,97.5816,98.1856,98.3254,98.2608,97.96257,93.5872,96.4774,97.3838,98.0058,98.2088,98.1694,97.793766
INGETEAM POWER TECHNOLOGY S.A.,INGECON SUN 1000TL U B360 [360V],1,2000,"1000 kW, 360 Vac Grid Support Utility Interactive Inverter for PV and Battery Applications.",1000,360,98,80,524,632,740,100,200,300,500,750,1000,97.34,98.14,98.33,98.21,97.83,97.31,97.94,96.84,97.92,98.13,98.08,97.7,97.09,97.78,96.36,97.64,97.97,97.94,97.55,96.97,97.61
INGETEAM POWER TECHNOLOGY S.A.,INGECON SUN 915TL U B330 [330V],1,2000,"915 kW, 330 Vac Grid Support Utility Interactive Inverter for PV and Battery Applications.",915,330,97.5,80,485,613,740,91.5,183,274.5,457.5,686.25,915,97.17,98.13,98.33,98.22,97.86,97.27,97.95,96.5,97.84,98.09,98.05,97.69,97.15,97.75,95.82,97.49,97.82,97.81,97.51,97.17,97.53
INGETEAM POWER TECHNOLOGY S.A.,INGECON SUN 830TL U B300 [300V],1,2000,"830 kW, 300 Vac Grid Support Utility Interactive Inverter for PV and Battery Applications.",830,300,97.5,80,440,590,740,83,166,249,415,622.5,830,97.21,98.13,98.27,98.16,97.74,97.18,97.86,96.5,97.77,97.96,97.92,97.55,97.06,97.62,95.7,97.41,97.7,97.66,97.36,96.88,97.38
INGETEAM POWER TECHNOLOGY S.A.,INGECON SUN 610TL U B220 [220V],15,2000,"610 kW, 220 Vac Grid Support Utility Interactive Inverter for PV and Battery Applications.",610,220,97.5,80,440,590,740,61,122,183,305,457.5,610,97.11,98.06,98.25,98.17,97.74,97.1,97.85,96.37,97.64,98.01,97.9,97.48,96.73,97.56,95.53,97.29,97.68,97.72,97.45,96.53,97.41
