Plant,Min PPFD,Max PPFD,Min DLI,Max DLI
African Violets,70,300,4,14
Aglaonema,20,40,4,14
Alocasia,80,500,4,14
Aloe,80,160,4,14
Amaryllis,150,300,4,14
Anthurium,80,400,4,14
Aspidistra,40,400,4,18
Avocado,400,650,18,24
Basil,220,500,12,26
Blackberry,200,300,8,14
Blueberry,400,700,14,24
Broccoli,300,700,15,35
Bromeliad,80,600,4,14
Calathea,80,400,4,15
Cannabis (Flowering),500,1050,30,40
Cannabis (Seedling),100,300,12,16
Cannabis (Vegetative),250,600,20,45
Chrysanthemums,200,300,10,14
Cilantro,300,600,20,28
Citrus (Various),300,600,20,28
Croton,80,160,4,16
Cucumbers,300,600,20,30
Cucumbers (Seedling),100,300,5,15
Culinary Herbs (Small),150,250,10,12
Cyclamen,70,150,6,8
Desert Cacti,500,2000,9,30
Dill,300,600,20,28
Dracaena,20,40,4,14
Dragon Tree,20,40,4,14
Dwarf Banana,100,350,4,14
Eggplants,300,600,20,30
English Ivy,40,80,4,8
Ferns,80,120,4,6
Ferns,20,40,5,15
Ficus,80,160,6,12
Fuchsia,150,250,10,12
Garden Lettuce,250,350,14,16
Grapefruit,500,700,22,30
Hibiscus,80,500,4,14
Hoya,20,40,3,8
Hoya,40,300,4,12
Jasmine,,0,5,16
Kalanchoe,60,120,9,30
Kumquat,500,700,22,30
Lemon,300,600,21,28
Lime,300,600,21,28
Mint,200,400,10,20
Money Tree,40,300,4,14
Monstera,80,500,4,12
Olive,400,1000,18,40
Orange,500,700,22,30
Orchids (High-Light),150,350,8,18
Orchids (Low-Light),40,80,4,6
Orchids (Moderate-Light),80,150,4,8
Oregano,300,600,20,28
Oxalis,150,250,2,10
Palm Trees,80,1200,10,40
Parsley,200,400,10,20
Peace Lily,20,40,4,14
Peach,200,300,8,14
Peas,150,300,9,12
Peperomia,20,40,3,8
Peperomia,40,300,4,12
Peppers,300,600,20,30
Peppers (Seedling),150,350,8,18
Petunias,300,400,16,18
Philodendron,40,80,4,14
Pineapple,350,700,15,30
Polka Dot Plant,40,80,4,14
Pothos,40,600,4,14
Pumpkins,300,650,18,28
Rosemary,300,600,20,28
Roses,350,450,18,22
Sage,200,400,10,20
Schefflera,40,800,7,30
Seedlings,70,150,6,8
Snake Plant,40,600,4,14
Spider Plant,40,80,4,14
Strawberry,400,600,17,28
Succulents,500,2000,30,50
Syngonium,40,600,4,14
Tangerine,500,700,22,30
Thyme,300,600,20,28
Tomatoes,350,800,22,30
Tomatoes (Seedling),150,350,8,18
Zucchini,400,650,22,28
ZZ Plant,200,400,2,10
ZZ Plant (Propagation),20,40,1,3
