Manufacturer,Model Number,Safety Certification,Pmax,PTC,Technology,A_c,N_s,N_p,BIPV,Isc,Voc,Ipmax,Vpmax,NOCT,Tc_pmax,Tc_isc,Tc_voc,Short Side,Long Side
Ablytek,6MN6A270,UL 1703,270,242.1,Mono-c-Si,1.627,60,1,N,9.34,38.63,8.81,30.72,47.4,-0.4509,0.0521,-0.3137,0.992,1.64
Ablytek,6MN6A275,UL 1703,275,246.7,Mono-c-Si,1.627,60,1,N,9.42,38.97,8.88,30.99,47.4,-0.4509,0.0521,-0.3137,0.992,1.64
Ablytek,6MN6A280,UL 1703,280,251.3,Mono-c-Si,1.627,60,1,N,9.51,39.31,8.96,31.26,47.4,-0.4509,0.0521,-0.3137,0.992,1.64
Ablytek,6MN6A285,UL 1703,285,256,Mono-c-Si,1.627,60,1,N,9.59,39.65,9.04,31.53,47.4,-0.4509,0.0521,-0.3137,0.992,1.64
Ablytek,6MN6A290,UL 1703,290,260.6,Mono-c-Si,1.627,60,1,N,9.67,39.99,9.12,31.8,47.4,-0.4509,0.0521,-0.3137,0.992,1.64
Advance Power,API-P210,UL 1703,210,186.8,Multi-c-Si,1.638,60,1,N,7.6,35.94,7.09,29.64,47.6,-0.4501,0.05758,-0.3342,0.995,1.646
Advance Power,API-P215,UL 1703,215,191.3,Multi-c-Si,1.638,60,1,N,7.83,36,7.18,29.94,47.6,-0.4501,0.05758,-0.3342,0.995,1.646
Advance Power,API-P220,UL 1703,220,195.9,Multi-c-Si,1.638,60,1,N,7.95,36.06,7.3,30.12,47.6,-0.4501,0.05758,-0.3342,0.995,1.646
Advance Power,API-M225,UL 1703,225,200.7,Mono-c-Si,1.638,60,1,N,8.11,37.02,7.5,30,46,-0.4796,0.05373,-0.3564,0.995,1.646
Advance Power,API-P225,UL 1703,225,200.5,Multi-c-Si,1.638,60,1,N,8.1,36.42,7.41,30.36,47.6,-0.4501,0.05758,-0.3342,0.995,1.646
Advance Power,API-M230,UL 1703,230,205.3,Mono-c-Si,1.638,60,1,N,8.18,37.32,7.55,30.48,46,-0.4796,0.05373,-0.3564,0.995,1.646
Advance Power,API-P230,UL 1703,230,205,Multi-c-Si,1.638,60,1,N,8.17,36.6,7.55,30.48,47.6,-0.4501,0.05758,-0.3342,0.995,1.646
Advance Power,API-M235,UL 1703,235,209.8,Mono-c-Si,1.638,60,1,N,8.26,37.5,7.59,30.96,46,-0.4796,0.05373,-0.3564,0.995,1.646
Advance Power,API-P235,UL 1703,235,209.6,Multi-c-Si,1.638,60,1,N,8.23,36.72,7.68,30.6,47.6,-0.4501,0.05758,-0.3342,0.995,1.646
Advance Power,API-M240,UL 1703,240,214.4,Mono-c-Si,1.638,60,1,N,8.29,37.56,7.69,31.2,46,-0.4796,0.05373,-0.3564,0.995,1.646
Advance Power,API-P240,UL 1703,240,214.2,Multi-c-Si,1.638,60,1,N,8.42,36.72,7.9,30.54,47.6,-0.4501,0.05758,-0.3342,0.995,1.646
Advance Power,API-M245,UL 1703,245,219,Mono-c-Si,1.638,60,1,N,8.32,37.62,7.78,31.5,46,-0.4796,0.05373,-0.3564,0.995,1.646
Advance Power,API-P245,UL 1703,245,218.8,Multi-c-Si,1.638,60,1,N,8.46,36.9,8,30.84,47.6,-0.4501,0.05758,-0.3342,0.995,1.646
Advance Power,API-M250,UL 1703,250,223.6,Mono-c-Si,1.638,60,1,N,8.59,37.62,8.17,30.6,46,-0.4796,0.05373,-0.3564,0.995,1.646
