Date,Hour,Price kWh
01/01/2022,1,0
01/01/2022,2,0
01/01/2022,3,0
01/01/2022,4,0
01/01/2022,5,0
01/01/2022,6,0
01/01/2022,7,0
01/01/2022,8,0
01/01/2022,9,0
01/01/2022,10,0
01/01/2022,11,0
01/01/2022,12,0
01/01/2022,13,0
01/01/2022,14,0.0001
01/01/2022,15,0.0001
01/01/2022,16,0.00001
01/01/2022,17,0.001
01/01/2022,18,0.00416
01/01/2022,19,0.0151
01/01/2022,20,0.01951
01/01/2022,21,0.02461
01/01/2022,22,0.04007
01/01/2022,23,0.04007
01/01/2022,24,0.016
02/01/2022,1,0.06138
02/01/2022,2,0.04217
02/01/2022,3,0.042
02/01/2022,4,0.04207
02/01/2022,5,0.04217
02/01/2022,6,0.06322
02/01/2022,7,0.085
02/01/2022,8,0.10536
02/01/2022,9,0.11946
02/01/2022,10,0.12014
02/01/2022,11,0.12121
02/01/2022,12,0.125
02/01/2022,13,0.12675
02/01/2022,14,0.12675
02/01/2022,15,0.128
02/01/2022,16,0.128
02/01/2022,17,0.129
02/01/2022,18,0.14
02/01/2022,19,0.17474
02/01/2022,20,0.16576
02/01/2022,21,0.153
02/01/2022,22,0.14167
02/01/2022,23,0.13491
02/01/2022,24,0.12422
03/01/2022,1,0.13001
03/01/2022,2,0.12
03/01/2022,3,0.11876
03/01/2022,4,0.115
03/01/2022,5,0.11363
03/01/2022,6,0.11627
03/01/2022,7,0.13892
03/01/2022,8,0.14211
03/01/2022,9,0.14856
03/01/2022,10,0.15889
03/01/2022,11,0.1549
03/01/2022,12,0.14671
03/01/2022,13,0.13333
03/01/2022,14,0.13
03/01/2022,15,0.126
03/01/2022,16,0.12
03/01/2022,17,0.13556
03/01/2022,18,0.1563
03/01/2022,19,0.16901
03/01/2022,20,0.16099
03/01/2022,21,0.1521
03/01/2022,22,0.14992
03/01/2022,23,0.13253
03/01/2022,24,0.115
04/01/2022,1,0.11999
04/01/2022,2,0.1
04/01/2022,3,0.09023
04/01/2022,4,0.0842
04/01/2022,5,0.08023
04/01/2022,6,0.08731
04/01/2022,7,0.109
04/01/2022,8,0.1051
04/01/2022,9,0.13416
04/01/2022,10,0.1293
04/01/2022,11,0.1207
04/01/2022,12,0.09677
04/01/2022,13,0.10503
04/01/2022,14,0.106
04/01/2022,15,0.10507
04/01/2022,16,0.1039
04/01/2022,17,0.10798
04/01/2022,18,0.12982
04/01/2022,19,0.16729
04/01/2022,20,0.1606
04/01/2022,21,0.15155
04/01/2022,22,0.14061
04/01/2022,23,0.12658
04/01/2022,24,0.10475
05/01/2022,1,0.09505
05/01/2022,2,0.07921
05/01/2022,3,0.06807
05/01/2022,4,0.06427
05/01/2022,5,0.06197
05/01/2022,6,0.0651
05/01/2022,7,0.09505
05/01/2022,8,0.10823
05/01/2022,9,0.1189
05/01/2022,10,0.12327
05/01/2022,11,0.10497
05/01/2022,12,0.11353
05/01/2022,13,0.10082
05/01/2022,14,0.09644
05/01/2022,15,0.0939
05/01/2022,16,0.09116
05/01/2022,17,0.09443
05/01/2022,18,0.1189
05/01/2022,19,0.1632
05/01/2022,20,0.17798
05/01/2022,21,0.16399
05/01/2022,22,0.152
05/01/2022,23,0.135
05/01/2022,24,0.1189
06/01/2022,1,0.10721
06/01/2022,2,0.1011
06/01/2022,3,0.09673
06/01/2022,4,0.08137
06/01/2022,5,0.07575
06/01/2022,6,0.081
06/01/2022,7,0.09745
06/01/2022,8,0.10782
06/01/2022,9,0.1228
06/01/2022,10,0.125
06/01/2022,11,0.1207
06/01/2022,12,0.11005
06/01/2022,13,0.10336
06/01/2022,14,0.09023
06/01/2022,15,0.08023
06/01/2022,16,0.07
06/01/2022,17,0.08043
06/01/2022,18,0.1212
06/01/2022,19,0.12847
06/01/2022,20,0.13773
06/01/2022,21,0.13773
06/01/2022,22,0.132
06/01/2022,23,0.0999
06/01/2022,24,0.0911
07/01/2022,1,0.05342
07/01/2022,2,0.0403
07/01/2022,3,0.0255
07/01/2022,4,0.0248
07/01/2022,5,0.02
07/01/2022,6,0.01485
07/01/2022,7,0.01485
07/01/2022,8,0.014
07/01/2022,9,0.01828
07/01/2022,10,0.0202
07/01/2022,11,0.01828
07/01/2022,12,0.014
07/01/2022,13,0.01035
07/01/2022,14,0.008
07/01/2022,15,0.00546
07/01/2022,16,0.00416
07/01/2022,17,0.008
07/01/2022,18,0.02461
07/01/2022,19,0.04
07/01/2022,20,0.04345
07/01/2022,21,0.05
07/01/2022,22,0.04345
07/01/2022,23,0.03
07/01/2022,24,0.02461
08/01/2022,1,0.007
08/01/2022,2,0.005
08/01/2022,3,0.0042
08/01/2022,4,0.00416
08/01/2022,5,0.00416
08/01/2022,6,0.00416
08/01/2022,7,0.00416
08/01/2022,8,0.00416
08/01/2022,9,0.00416
08/01/2022,10,0.005
08/01/2022,11,0.0051
08/01/2022,12,0.00505
08/01/2022,13,0.0049
08/01/2022,14,0.005
08/01/2022,15,0.0046
08/01/2022,16,0.0042
08/01/2022,17,0.0046
08/01/2022,18,0.0071
08/01/2022,19,0.0178
08/01/2022,20,0.02461
08/01/2022,21,0.04
08/01/2022,22,0.04
08/01/2022,23,0.02194
08/01/2022,24,0.0157
09/01/2022,1,0.0051
09/01/2022,2,0.0042
09/01/2022,3,0.0042
09/01/2022,4,0.0042
09/01/2022,5,0.0046
09/01/2022,6,0.0055
09/01/2022,7,0.02461
09/01/2022,8,0.08
09/01/2022,9,0.118
09/01/2022,10,0.12116
09/01/2022,11,0.11958
09/01/2022,12,0.115
09/01/2022,13,0.106
09/01/2022,14,0.09184
09/01/2022,15,0.08128
09/01/2022,16,0.07232
09/01/2022,17,0.0991
09/01/2022,18,0.13026
09/01/2022,19,0.1615
09/01/2022,20,0.17162
09/01/2022,21,0.16121
09/01/2022,22,0.13916
09/01/2022,23,0.132
09/01/2022,24,0.10634
10/01/2022,1,0.10598
10/01/2022,2,0.09679
10/01/2022,3,0.09531
10/01/2022,4,0.09019
10/01/2022,5,0.093
10/01/2022,6,0.098
10/01/2022,7,0.11767
10/01/2022,8,0.13267
10/01/2022,9,0.14184
10/01/2022,10,0.14144
10/01/2022,11,0.1253
10/01/2022,12,0.101
10/01/2022,13,0.0976
10/01/2022,14,0.0955
10/01/2022,15,0.0926
10/01/2022,16,0.092
10/01/2022,17,0.098
10/01/2022,18,0.13328
10/01/2022,19,0.14474
10/01/2022,20,0.14107
10/01/2022,21,0.12484
10/01/2022,22,0.10965
10/01/2022,23,0.0928
10/01/2022,24,0.0643
11/01/2022,1,0.035
11/01/2022,2,0.008
11/01/2022,3,0.00416
11/01/2022,4,0.00416
11/01/2022,5,0.00416
11/01/2022,6,0.00553
11/01/2022,7,0.06437
11/01/2022,8,0.09999
11/01/2022,9,0.13902
11/01/2022,10,0.13867
11/01/2022,11,0.13
11/01/2022,12,0.10735
11/01/2022,13,0.09596
11/01/2022,14,0.08477
11/01/2022,15,0.06602
11/01/2022,16,0.06287
11/01/2022,17,0.08515
11/01/2022,18,0.13
