City Name,Latitude,Longitude,Country
Tokyo,35.6897,139.6922,Japan
Jakarta,-6.175,106.8275,Indonesia
Delhi,28.61,77.23,India
Guangzhou,23.13,113.26,China
Mumbai,19.0761,72.8775,India
Manila,14.5958,120.9772,Philippines
Shanghai,31.1667,121.4667,China
Sao Paulo,-23.55,-46.6333,Brazil
Seoul,37.56,126.99,South Korea
Mexico City,19.4333,-99.1333,Mexico
Cairo,30.0444,31.2358,Egypt
New York,40.6943,-73.9249,United States
Dhaka,23.7639,90.3889,Bangladesh
Beijing,39.904,116.4075,China
Kolkata,22.5675,88.37,India
Bangkok,13.7525,100.4942,Thailand
Shenzhen,22.535,114.054,China
Moscow,55.7558,37.6178,Russia
Buenos Aires,-34.5997,-58.3819,Argentina
Lagos,6.455,3.3841,Nigeria
Istanbul,41.0136,28.955,Turkey
Karachi,24.86,67.01,Pakistan
Bangalore,12.9789,77.5917,India
Ho Chi Minh City,10.7756,106.7019,Vietnam
Osaka,34.6939,135.5022,Japan
Chengdu,30.66,104.0633,China
Tehran,35.6892,51.3889,Iran
Kinshasa,-4.325,15.3222,Congo (Kinshasa)
Rio de Janeiro,-22.9111,-43.2056,Brazil
Chennai,13.0825,80.275,India
Xi'an,34.2667,108.9,China
Lahore,31.5497,74.3436,Pakistan
Chongqing,29.55,106.5069,China
Los Angeles,34.1141,-118.4068,United States
Baoding,38.8671,115.4845,China
London,51.5072,-0.1275,United Kingdom
Paris,48.8567,2.3522,France
Linyi,35.1041,118.3502,China
Dongguan,23.0475,113.7493,China
Hyderabad,17.385,78.4867,India
Tianjin,39.1467,117.2056,China
Lima,-12.06,-77.0375,Peru
Wuhan,30.5872,114.2881,China
Nanyang,32.9987,112.5292,China
Hangzhou,30.25,120.1675,China
Foshan,23.0292,113.1056,China
Nagoya,35.1833,136.9,Japan
Taipei,25.0375,121.5625,Taiwan
Tongshan,34.261,117.1859,China
Luanda,-8.8383,13.2344,Angola
Zhoukou,33.625,114.6418,China
Ganzhou,25.8292,114.9336,China
Kuala Lumpur,3.1478,101.6953,Malaysia
Heze,35.2333,115.4333,China
Quanzhou,24.9139,118.5858,China
Chicago,41.8375,-87.6866,United States
Nanjing,32.0608,118.7789,China
Jining,35.4,116.5667,China
Hanoi,21.0283,105.8542,Vietnam
Pune,18.5203,73.8567,India
Fuyang,32.8986,115.8045,China
Ahmedabad,23.03,72.58,India
Johannesburg,-26.2044,28.0456,South Africa
Bogota,4.7111,-74.0722,Colombia
Dar es Salaam,-6.8161,39.2803,Tanzania
Shenyang,41.8025,123.4281,China
Khartoum,15.5006,32.56,Sudan
Shangqiu,34.4259,115.6467,China
Cangzhou,38.3037,116.8452,China
Hong Kong,22.3,114.2,Hong Kong
Shaoyang,27.2418,111.4725,China
Zhanjiang,21.1967,110.4031,China
Yancheng,33.3936,120.1339,China
Hengyang,26.8968,112.5857,China
Riyadh,24.6333,46.7167,Saudi Arabia
Zhumadian,32.9773,114.0253,China
Santiago,-33.4372,-70.6506,Chile
Xingtai,37.0659,114.4753,China
Chattogram,22.335,91.8325,Bangladesh
Bijie,27.3019,105.2863,China
Shangrao,28.4419,117.9633,China
Zunyi,27.705,106.9336,China
Surat,21.1702,72.8311,India
Surabaya,-7.2458,112.7378,Indonesia
Huanggang,30.45,114.875,China
Maoming,21.6618,110.9178,China
Nanchong,30.7991,106.0784,China
Xinyang,32.1264,114.0672,China
Madrid,40.4169,-3.7033,Spain
Baghdad,33.3153,44.3661,Iraq
Qujing,25.5102,103.8029,China
Jieyang,23.5533,116.3649,China
Singapore,1.3,103.8,Singapore
Prayagraj,25.4358,81.8464,India
Liaocheng,36.45,115.9833,China
Dalian,38.9,121.6,China
Yulin,22.6293,110.1507,China
Changde,29.0397,111.6839,China
Qingdao,36.1167,120.4,China
Douala,4.05,9.7,Cameroon
Miami,25.784,-80.2101,United States
Nangandao,35.2992,113.8851,China
Pudong,31.2231,121.5397,China
Xiangyang,32.0654,112.1531,China
Dallas,32.7935,-96.7667,United States
Houston,29.786,-95.3885,United States
Zhengzhou,34.7492,113.6605,China
Lu'an,31.7542,116.5078,China
Dezhou,37.4513,116.3105,China
Jinan,36.6667,116.9833,China
Giza,29.987,31.2118,Egypt
Zhaotong,27.3328,103.7144,China
Yichun,27.8041,114.383,China
Nairobi,-1.2864,36.8172,Kenya
Guadalajara,20.6767,-103.3475,Mexico
Philadelphia,40.0077,-75.1339,United States
Ankara,39.93,32.85,Turkey
Tai'an,36.2001,117.0809,China
Dazhou,31.2152,107.4947,China
Langfang,39.5196,116.7006,China
Yongzhou,26.4515,111.5953,China
Toronto,43.7417,-79.3733,Canada
Suihua,46.6384,126.9808,China
Saint Petersburg,59.95,30.3167,Russia
Qiqihar,47.3398,123.9512,China
Suzhou,33.6333,116.9683,China
Monterrey,25.6667,-100.3,Mexico
Belo Horizonte,-19.9167,-43.9333,Brazil
Weinan,34.4996,109.4684,China
Rangoon,16.795,96.16,Myanmar
Zhangzhou,24.5093,117.6612,China
Yuncheng,35.0304,110.998,China
Xianyang,34.35,108.7167,China
Guilin,25.2819,110.2864,China
Atlanta,33.7628,-84.422,United States
Taizhou,32.4831,119.9,China
Kashan,33.9833,51.4333,Iran
Bozhou,33.8626,115.7742,China
Abidjan,5.3167,-4.0333,C̫te d'Ivoire
Suqian,33.9331,118.2831,China
Huaihua,27.5494,109.9592,China
Ji'an,27.1172,114.9793,China
Xiaoganzhan,30.9273,113.911,China
Pingdingshan,33.735,113.2999,China
Jiujiang,29.7048,116.0021,China
Alexandria,31.1975,29.8925,Egypt
Mianyang,31.4669,104.7385,China
Sydney,-33.8678,151.21,Australia
Huanglongsi,34.795,114.345,China
Washington,38.9047,-77.0163,United States
Barcelona,41.3825,2.1769,Spain
Changsha,28.1987,112.9709,China
Chenzhou,25.7989,113.0267,China
Anqing,30.5,117.0333,China
Jiangmen,22.5833,113.0833,China
Xinpu,34.5906,119.1801,China
Yibin,28.7596,104.64,China
Yangzhou,32.3912,119.4363,China
Melbourne,-37.8142,144.9631,Australia
Berlin,52.52,13.405,Germany
Hengshui,37.7348,115.686,China
Timbio,2.3445,-76.6839,Colombia
Kunming,25.0433,102.7061,China
Yiyang,28.5833,112.3333,China
Guigang,23.0961,109.6092,China
Changchun,43.9,125.2,China
Jiangguanchi,34.0244,113.8201,China
Casablanca,33.5333,-7.5833,Morocco
Meizhou,24.2998,116.1191,China
Zhangjiakou,40.8108,114.8811,China
Chifeng,42.2663,118.9223,China
Urumqi,43.8225,87.6125,China
Izmir,38.42,27.14,Turkey
Linfen,36.0812,111.5087,China
Shantou,23.3735,116.6941,China
Kabul,34.5253,69.1783,Afghanistan
Mogadishu,2.0392,45.3419,Somalia
Luzhou,28.8918,105.4409,China
Hefei,31.8639,117.2808,China
Boston,42.3188,-71.0852,United States
Liuzhou,24.3264,109.4281,China
Zhaoqing,23.05,112.4667,China
Xiaoxita,30.7083,111.2803,China
Shijiazhuang,38.0422,114.5086,China
Ningbo,29.875,121.5492,China
Fuzhou,27.9814,116.3577,China
Phoenix,33.5722,-112.0892,United States
Zhuzhou,27.8407,113.1469,China
Amman,31.9497,35.9328,Jordan
Chuzhou,32.3062,118.3115,China
Jeddah,21.5433,39.1728,Saudi Arabia
Qingyuan,23.6842,113.0507,China
Loudi,27.7378,111.9974,China
Binzhou,37.3806,118.0125,China
Deyang,31.1289,104.395,China
Taiyuan,37.8733,112.5425,China
Kano,12,8.5167,Nigeria
Wuhu,31.334,118.3622,China
Nanning,22.8192,108.315,China
Harbin,45.75,126.6333,China
Abuja,9.0667,7.4833,Nigeria
Yokohama,35.4442,139.6381,Japan
Baojishi,34.3609,107.1751,China
Zaozhuang,34.8667,117.55,China
Xiamen,24.4797,118.0819,China
Neijiang,29.5872,105.0635,China
Baicheng,23.901,106.6194,China
Anshan,41.1066,122.9895,China
Medan,3.5894,98.6739,Indonesia
Yulinshi,38.2655,109.7388,China
Wenzhou,27.9991,120.6561,China
Changzhou,31.8122,119.9692,China
Puyang,35.7639,115.03,China
Jiaozuo,35.229,113.2304,China
Nanchang,28.6842,115.8872,China
Ibadan,7.3964,3.9167,Nigeria
Hechi,24.6928,108.085,China
Detroit,42.3834,-83.1024,United States
Montreal,45.5089,-73.5617,Canada
Busan,35.18,129.075,South Korea
Hohhot,40.8151,111.6629,China
Seattle,47.6211,-122.3244,United States
Algiers,36.7539,3.0589,Algeria
Hanzhong,33.0794,107.026,China
Tangshan,39.6292,118.1742,China
Shiyan,32.6351,110.7755,China
Lucknow,26.85,80.95,India
Siping,43.1715,124.3644,China
Mashhad,36.3,59.6,Iran
Boankra,6.6944,-1.4028,Ghana
Changzhi,36.1953,113.097,China
Dubai,25.2631,55.2972,United Arab Emirates
Qinzhou,21.95,108.6167,China
Guiyang,26.5794,106.7078,China
Bengbu,32.9354,117.3531,China
San Francisco,37.7558,-122.4449,United States
Bazhou,31.8576,106.7559,China
Qincheng,34.5809,105.7311,China
Suining,30.5098,105.5737,China
Wuxi,31.5667,120.2833,China
Leshan,29.5854,103.7575,China
Putian,25.4394,119.0103,China
Zhenjiang,32.2109,119.4551,China
Faisalabad,31.4167,73.0911,Pakistan
Guang'an,30.4673,106.6336,China
Tongren,27.7233,109.1885,China
Santa Cruz,-17.7892,-63.1975,Bolivia
Qinhuangdao,39.9398,119.5881,China
Tongliao,43.6172,122.264,China
Jinzhou,41.1144,121.1292,China
Heyuan,23.7503,114.6923,China
San Diego,32.8313,-117.1222,United States
Jaipur,26.9,75.8,India
Xinzhou,38.4178,112.7233,China
Lanzhou,36.0617,103.8318,China
Wuzhou,23.4833,111.3167,China
Athens,37.9842,23.7281,Greece
Addis Ababa,9.03,38.74,Ethiopia
Chaoyang,41.5757,120.4486,China
Brasilia,-15.7939,-47.8828,Brazil
Taichung,24.1439,120.6794,Taiwan
Kuwait City,29.3697,47.9783,Kuwait
Budapest,47.4925,19.0514,Hungary
Shaoguan,24.8011,113.5927,China
Shanwei,22.7664,115.3331,China
Quezon City,14.63,121.03,Philippines
Rizhao,35.4164,119.4331,China
Kyiv,50.45,30.5233,Ukraine
Sanaa,15.3483,44.2064,Yemen
Meishan,30.0575,103.8381,China
Incheon,37.4833,126.6333,South Korea
Guatemala City,14.6099,-90.5252,Guatemala
Birmingham,52.48,-1.9025,United Kingdom
Zhongshan,22.5333,113.35,China
Ningde,26.6617,119.5228,China
Weihai,37.5,122.1,China
Daqing,46.5979,125.008,China
Bursa,40.1833,29.05,Turkey
Salvador,-12.9747,-38.4767,Brazil
Rome,41.8931,12.4828,Italy
Haikou,20.02,110.32,China
La Paz,-16.5,-68.15,Bolivia
Xiangtan,27.8431,112.9228,China
Pyongyang,39.0194,125.7381,North Korea
Minneapolis,44.9635,-93.2678,United States
Omdurman,15.65,32.4833,Sudan
Malang,-7.98,112.62,Indonesia
Mudanjiang,44.5861,129.5997,China
Stuttgart,48.7775,9.18,Germany
Brooklyn,40.6501,-73.9496,United States
Kaohsiung,22.615,120.2975,Taiwan
Guayaquil,-2.19,-79.8875,Ecuador
Lisbon,38.7253,-9.15,Portugal
Longyan,25.0881,117.0244,China
Tieling,42.2841,123.8365,China
Manchester,53.4794,-2.2453,United Kingdom
Baotou,40.6562,109.8345,China
Handan,36.6116,114.4894,China
Cawnpore,26.4499,80.3319,India
Dingxi,35.5806,104.6263,China
Nanping,26.6448,118.1728,China
Tampa,27.9945,-82.4447,United States
Zigong,29.3498,104.7645,China
Maracaibo,10.6333,-71.6333,Venezuela
Chaozhou,23.67,116.63,China
Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa)
Denver,39.762,-104.8758,United States
Gulou,26.0865,119.298,China
Weifang,36.7167,119.1,China
Huai'an,33.5058,119.1392,China
Zibo,36.7831,118.0497,China
Ankang,32.6877,109.0235,China
Baoshan,25.1211,99.169,China
Antananarivo,-18.9333,47.5167,Madagascar
Huludao,40.7094,120.8378,China
Munich,48.1375,11.575,Germany
Yanjiang,30.1256,104.6397,China
Santo Domingo,18.4764,-69.8933,Dominican Republic
Sanming,26.2658,117.6302,China
Tashkent,41.3111,69.2797,Uzbekistan
Longba,33.535,105.349,China
Yangjiang,21.8556,111.9627,China
Jiamusi,46.8081,130.3653,China
Luohe,33.583,114.0109,China
Lincang,23.8864,100.0871,China
Medellin,6.2308,-75.5906,Colombia
Xuanzhou,30.9475,118.7518,China
Yunfu,22.9242,112.0353,China
Shaoxing,30,120.5833,China
Yantai,37.3997,121.2664,China
Huizhou,23.1115,114.4152,China
Lishui,28.45,119.9167,China
Mirzapur,25.146,82.569,India
Hamburg,53.55,10,Germany
Guangyuan,32.4353,105.8398,China
Cali,3.4206,-76.5222,Colombia
Lusaka,-15.4167,28.2833,Zambia
Huangshi,30.2018,115.0326,China
Xining,36.6239,101.7787,China
Ouagadougou,12.3686,-1.5275,Burkina Faso
Daegu,35.8717,128.6017,South Korea
Fortaleza,-3.7275,-38.5275,Brazil
Yaounde,3.8667,11.5167,Cameroon
Jilin,43.8519,126.5481,China
Dandong,40.1167,124.3833,China
Zhuhai,22.2769,113.5678,China
Lianshan,40.7523,120.828,China
Yingkou,40.6653,122.2297,China
Antalya,36.8874,30.7075,Turkey
Nagpur,21.1497,79.0806,India
Queens,40.7498,-73.7976,United States
Accra,5.55,-0.2,Ghana
Bekasi,-6.2349,106.9923,Indonesia
Ghaziabad,28.67,77.42,India
Yuxi,24.3495,102.5432,China
Luoyang,34.6587,112.4245,China
Brisbane,-27.4678,153.0281,Australia
Anshun,26.2456,105.934,China
Depok,-6.394,106.8225,Indonesia
Shangzhou,33.868,109.9244,China
Huainan,32.4831,117.0164,China
Colombo,6.9344,79.8428,Sri Lanka
Kuaidamao,41.7302,125.9471,China
Baku,40.3667,49.8352,Azerbaijan
Fukuoka,33.5833,130.4,Japan
Yan'an,36.5952,109.4863,China
Jincheng,35.4906,112.8483,China
Vancouver,49.25,-123.1,Canada
Nantong,31.9829,120.8873,China
Tangerang,-6.1783,106.6319,Indonesia
Caracas,10.4806,-66.9036,Venezuela
Sanmenxia,34.7736,111.195,China
Laibin,23.7333,109.2333,China
Konya,37.8667,32.4833,Turkey
Manaus,-3.1,-60.0167,Brazil
Esfahan,32.6447,51.6675,Iran
Qinbaling,35.7278,107.64,China
Baltimore,39.3051,-76.6144,United States
Ma'anshan,31.6858,118.5101,China
Shengli,37.45,118.4667,China
Gaoping,30.7824,106.1281,China
Harare,-17.8292,31.0522,Zimbabwe
Kowloon,22.3167,114.1833,Hong Kong
Las Vegas,36.2333,-115.2654,United States
Havana,23.1367,-82.3589,Cuba
Perth,-31.9559,115.8606,Australia
Phnom Penh,11.5694,104.9211,Cambodia
Puning,23.2993,116.1586,China
Huaibei,33.9562,116.789,China
Qingyang,24.8141,118.5792,China
Haiphong,20.8651,106.6838,Vietnam
Chongzuo,22.4167,107.3667,China
Rawalpindi,33.6,73.0333,Pakistan
Yushan,31.3867,120.9766,China
St. Louis,38.6359,-90.2451,United States
Kumasi,6.6667,-1.6167,Ghana
Vadodara,22.3,73.2,India
Hezhou,24.4164,111.5478,China
Pingliang,35.5412,106.6819,China
Portland,45.5371,-122.65,United States
Vishakhapatnam,17.7042,83.2978,India
Gujranwala,32.1567,74.19,Pakistan
Gaziantep,37.0628,37.3792,Turkey
Fushun,41.8708,123.8917,China
Riverside,33.9381,-117.3949,United States
Bamako,12.6458,-7.9922,Mali
Quito,-0.22,-78.5125,Ecuador
Minsk,53.9,27.5667,Belarus
Tijuana,32.525,-117.0333,Mexico
Bamenda,5.9614,10.1517,Cameroon
Boosaaso,11.2886,49.1819,Somalia
Indore,22.7167,75.8472,India
Sanliurfa,37.1583,38.7917,Turkey
Vienna,48.2083,16.3725,Austria
Karaj,35.8272,50.9489,Iran
Kananga,-5.897,22.4488,Congo (Kinshasa)
Peshawar,34.0144,71.5675,Pakistan
Sapporo,43.0667,141.35,Japan
Ecatepec,19.6097,-99.06,Mexico
Pingxiang,27.6333,113.85,China
Orlando,28.4773,-81.337,United States
Aleppo,36.2,37.16,Syria
Sacramento,38.5677,-121.4685,United States
Almaty,43.2775,76.8958,Kazakhstan
San Juan,18.3985,-66.061,Puerto Rico
San Antonio,29.4632,-98.5238,United States
Yinchuan,38.4795,106.2254,China
Thane,19.1972,72.9722,India
Santos,-23.9369,-46.325,Brazil
Blantyre,-15.7861,35.0058,Malawi
Bucharest,44.4325,26.1039,Romania
Curitiba,-25.4297,-49.2711,Brazil
Multan,30.1978,71.4697,Pakistan
Tainan,22.9833,120.1833,Taiwan
Xiping,40.082,113.2981,China
Port Harcourt,4.8242,7.0336,Nigeria
Warsaw,52.23,21.0111,Poland
Jixi,45.2937,130.965,China
Saidu Sharif,34.75,72.3572,Pakistan
Liaoyang,41.2643,123.1772,China
Beihai,21.4667,109.1,China
Meru,0.05,37.65,Kenya
Brazzaville,-4.2694,15.2714,Congo (Brazzaville)
Fuxin,42.0127,121.6486,China
Wuwei,37.9278,102.6329,China
Mersin,36.8,34.6333,Turkey
Bhopal,23.25,77.4167,India
Lubumbashi,-11.6647,27.4794,Congo (Kinshasa)
Denpasar,-8.65,115.2167,Indonesia
Davao,7.0667,125.6,Philippines
Shuyangzha,34.1299,118.7734,China
Adana,37,35.3213,Turkey
Damascus,33.5131,36.2919,Syria
Brussels,50.8467,4.3525,Belgium
Hyderabad City,25.3792,68.3683,Pakistan
Diyarbakir,37.91,40.24,Turkey
San Jose,37.3012,-121.848,United States
Chinchvad,18.6186,73.8037,India
Montevideo,-34.8836,-56.1819,Uruguay
Pittsburgh,40.4397,-79.9763,United States
Shuozhou,39.3408,112.4292,China
Cincinnati,39.1413,-84.506,United States
Benxi,41.292,123.761,China
Baiyin,36.5448,104.1766,China
Mosul,36.34,43.13,Iraq
Manhattan,40.7834,-73.9662,United States
Caloocan City,14.65,120.97,Philippines
Kampala,0.3136,32.5811,Uganda
Patna,25.6,85.1,India
Tegucigalpa,14.1,-87.2167,Honduras
Cleveland,41.4764,-81.6805,United States
Sanzhou,30.82,108.4,China
Changshu,31.65,120.7333,China
Mecca,21.4225,39.8233,Saudi Arabia
Heihe,50.2458,127.4886,China
Jingdezhen,29.2942,117.2036,China
Conakry,9.5092,-13.7122,Guinea
Recife,-8.05,-34.9,Brazil
Indianapolis,39.7771,-86.1458,United States
Austin,30.3005,-97.7522,United States
Sangereng,-6.2889,106.7181,Indonesia
Kansas City,39.1238,-94.5541,United States
Zhongli,24.965,121.2168,Taiwan
Novosibirsk,55.0333,82.9167,Russia
Bilaspur,22.09,82.15,India
Semarang,-6.9667,110.4167,Indonesia
Ludhiana,30.91,75.85,India
Narayanganj,23.62,90.5,Bangladesh
Stockholm,59.3294,18.0686,Sweden
Chengtangcun,35.0833,117.15,China
Agra,27.18,78.02,India
Balandougou,13.3558,-9.5517,Mali
Agwar,27.18,78.02,India
Leon de los Aldama,21.1167,-101.6833,Mexico
Yopougon,5.3167,-4.0667,C̫te d'Ivoire
Puebla,19.0333,-98.1833,Mexico
Madurai,9.9252,78.1198,India
Hebi,35.7497,114.2887,China
Cordoba,-31.4167,-64.1833,Argentina
Shiraz,29.61,52.5425,Iran
Jamshedpur,22.7925,86.1842,India
Tabriz,38.0814,46.3006,Iran
Huzhou,30.8925,120.0875,China
Columbus,39.9862,-82.9855,United States
Sofia,42.7,23.33,Bulgaria
Kawasaki,35.5167,139.7,Japan
Aba,5.1167,7.3667,Nigeria
